asn,degree
8778,54
9031,54
12849,54
17660,54
20712,54
20766,54
28929,54
28968,54
31673,54
34106,54
44034,54
50266,54
57866,54
202120,54
5503,53
8926,53
12315,53
12322,53
12684,53
133797,53
17408,53
21949,53
24526,53
29518,53
29668,53
36937,53
37054,53
38896,53
42459,53
45014,53
51906,53
56595,53
201290,53
206313,53
12179,52
12576,52
17886,52
28669,52
29527,52
50606,52
60280,52
197071,52
198228,52
3302,51
8282,51
8339,51
8470,51
11232,51
12670,51
14259,51
15743,51
16082,51
17639,51
20952,51
21396,51
24586,51
33920,51
34772,51
41405,51
42353,51
42431,51
42831,51
47973,51
56647,51
58138,51
60725,51
8530,50
8648,50
9153,50
9211,50
15965,50
20559,50
31200,50
35266,50
41230,50
43942,50
719,49
3265,49
5409,49
6876,49
7642,49
1759,49
12480,49
13178,49
15366,49
20912,49
34555,49
34790,49
39702,49
58010,49
2518,48
4621,48
5539,48
8879,48
9822,48
12615,48
22925,48
25560,48
34602,48
39257,48
42455,48
132215,48
44053,48
58243,48
60718,48
200023,48
8319,47
8615,47
12693,47
17621,47
23201,47
31543,47
34762,47
46562,47
50324,47
51088,47
327814,47
8301,46
8859,46
12271,46
12360,46
12668,46
12963,46
13037,46
2519,46
15766,46
16298,46
16814,46
23655,46
23889,46
29550,46
34934,46
39927,46
41090,46
44964,46
47215,46
50316,46
51561,46
59455,46
3249,45
4812,45
5404,45
13977,45
17996,45
18747,45
24516,45
25376,45
25460,45
29286,45
35574,45
44943,45
48190,45
49463,45
59507,45
60522,45
3462,44
6407,44
6849,44
8391,44
8469,44
10143,44
12357,44
13110,44
15835,44
25182,44
31595,44
35032,44
39309,44
39351,44
41000,44
42369,44
49024,44
50533,44
56478,44
61049,44
61317,44
200781,44
237,43
5564,43
5607,43
6898,43
8905,43
12316,43
12941,43
13000,43
13005,43
17494,43
21472,43
28685,43
28889,43
29081,43
29670,43
43754,43
44611,43
50020,43
50469,43
56357,43
60319,43
198047,43
198930,43
201701,43
513,42
6789,42
6848,42
14265,42
15941,42
20915,42
25133,42
25512,42
31167,42
35549,42
36902,42
39356,42
42965,42
45903,42
196922,42
198726,42
5430,41
5602,41
8302,41
10010,41
12470,41
25184,41
25374,41
25454,41
28760,41
29278,41
39279,41
39537,41
43366,41
43437,41
48152,41
51483,41
55824,41
57356,41
61215,41
61400,41
62217,41
5390,40
6067,40
8821,40
9268,40
