asn,degree
9,0
16,0
393246,0
393249,0
52,0
73,0
104,0
109,0
25,0
158,0
217,0
239,0
292,0
546,0
679,0
705,0
790,0
394102,0
131995,0
263228,0
132162,0
1109,0
1113,0
1124,0
1128,0
1133,0
1161,0
131267,0
1289,0
1307,0
251,0
1610,0
1739,0
394989,0
132905,0
1879,0
1909,0
1942,0
2012,0
133124,0
395400,0
2426,0
264608,0
2547,0
2549,0
2561,0
264787,0
133812,0
133817,0
395965,0
2833,0
2850,0
134026,0
396190,0
134111,0
134232,0
3188,0
3242,0
3551,0
3582,0
3598,0
265830,0
134783,0
262774,0
134868,0
3839,0
135014,0
135036,0
135132,0
135162,0
4128,0
135214,0
135217,0
135448,0
4385,0
135524,0
4616,0
4622,0
4638,0
4730,0
4767,0
136039,0
5087,0
136393,0
5419,0
5470,0
5491,0
5516,0
136672,0
5609,0
5615,0
5692,0
132021,0
5719,0
5739,0
394197,0
132079,0
6058,0
6124,0
6356,0
6373,0
6510,0
6535,0
6753,0
6823,0
6867,0
7050,0
7131,0
44884,0
7203,0
1205,0
7366,0
7420,0
7570,0
7590,0
7765,0
132400,0
8092,0
8094,0
8208,0
8211,0
8228,0
8248,0
8264,0
8267,0
8303,0
8328,0
8334,0
262149,0
8351,0
8362,0
8430,0
8466,0
8489,0
8547,0
8564,0
8639,0
8661,0
8670,0
8672,0
8726,0
8818,0
8829,0
8934,0
8937,0
8970,0
8982,0
8991,0
9105,0
9135,0
9166,0
9167,0
48315,0
9188,0
9249,0
9363,0
9378,0
262184,0
9411,0
9430,0
9431,0
9464,0
9471,0
131251,0
9488,0
9546,0
9617,0
9735,0
9872,0
9897,0
10131,0
10139,0
10197,0
10208,0
262222,0
10566,0
10620,0
10715,0
10745,0
11131,0
11252,0
132952,0
11318,0
1901,0
11488,0
133051,0
12035,0
12222,0
12319,0
12363,0
12365,0
12395,0
12426,0
12431,0
395291,0
12486,0
12508,0
12513,0
12539,0
12543,0
12545,0
12559,0
12571,0
12579,0
12581,0
12591,0
12620,0
12626,0
12628,0
12629,0
12635,0
196824,0
12638,0
12644,0
133187,0
12727,0
12757,0
12768,0
12810,0
12812,0
12813,0
12816,0
12833,0
12846,0
12879,0
12886,0
12906,0
12908,0
12935,0
30983,0
393240,0
13026,0
13036,0
13113,0
13167,0
13168,0
13224,0
13246,0
13272,0
13303,0
13306,0
13476,0
2269,0
13901,0
14008,0
14210,0
14432,0
133498,0
14569,0
14813,0
2485,0
14949,0
15038,0
15088,0
327844,0
395747,0
15275,0
15344,0
15370,0
15404,0
15415,0
15451,0
15480,0
15488,0
15527,0
133661,0
15540,0
2590,0
15556,0
15582,0
15630,0
15657,0
15663,0
15665,0
15683,0
15689,0
15713,0
15723,0
15747,0
15788,0
15793,0
15796,0
15800,0
15810,0
15815,0
15817,0
15870,0
15894,0
15897,0
15930,0
15934,0
15969,0
15975,0
15987,0
15991,0
133742,0
16032,0
264830,0
16125,0
16134,0
16200,0
16281,0
16345,0
16364,0
16367,0
16375,0
16527,0
16881,0
16929,0
16973,0
262438,0
17177,0
17210,0
17465,0
17470,0
17479,0
17480,0
17488,0
17518,0
17523,0
17552,0
17721,0
17813,0
17823,0
17849,0
17858,0
17893,0
17948,0
17974,0
18004,0
18188,0
18419,0
18420,0
18480,0
18494,0
18822,0
131583,0
48139,0
19517,0
134325,0
19662,0
25129,0
19764,0
3314,0
3323,0
134416,0
20130,0
20375,0
20507,0
20561,0
20569,0
20574,0
20597,0
20625,0
20626,0
20648,0
134522,0
20741,0
20769,0
20798,0
20807,0
20821,0
20852,0
20914,0
20917,0
20955,0
20963,0
21032,0
21060,0
21079,0
21162,0
21173,0
21174,0
21175,0
21193,0
25381,0
21235,0
21247,0
21250,0
21374,0
21390,0
21418,0
21466,0
21491,0
21503,0
21552,0
21556,0
21774,0
21775,0
201494,0
21828,0
22122,0
22192,0
22200,0
22211,0
8877,0
22342,0
22394,0
22457,0
22458,0
134839,0
22684,0
22690,0
22727,0
264640,0
23141,0
23242,0
23254,0
23366,0
23523,0
23657,0
23693,0
23696,0
23700,0
23719,0
23727,0
8887,0
23872,0
24079,0
24086,0
24103,0
24139,0
24195,0
24207,0
24276,0
24439,0
24672,0
24685,0
24722,0
24757,0
24786,0
24823,0
24827,0
24851,0
24862,0
24873,0
24881,0
24893,0
24895,0
24909,0
24921,0
24956,0
24978,0
25038,0
25048,0
25054,0
25058,0
25124,0
135260,0
25135,0
25156,0
25187,0
31592,0
25242,0
25250,0
25285,0
25309,0
25310,0
25352,0
25353,0
25365,0
25406,0
25417,0
25428,0
25431,0
25455,0
25487,0
25518,0
25579,0
26130,0
135465,0
26504,0
26596,0
26608,0
26627,0
26830,0
26868,0
26932,0
27398,0
27699,0
27725,0
135693,0
27733,0
27754,0
27755,0
27769,0
27771,0
27773,0
27775,0
27792,0
27828,0
27866,0
27883,0
27929,0
28011,0
28017,0
28067,0
28073,0
28099,0
28104,0
28109,0
48379,0
28548,0
28681,0
28728,0
28742,0
28753,0
28774,0
28785,0
28831,0
28854,0
28905,0
48511,0
28954,0
28990,0
29032,0
29072,0
29077,0
29104,0
29121,0
29243,0
29247,0
29255,0
29256,0
29300,0
29385,0
29425,0
29439,0
29484,0
29497,0
29540,0
29555,0
29580,0
29584,0
29587,0
29599,0
29650,0
29672,0
30119,0
30312,0
30607,0
30633,0
30737,0
30741,0
30746,0
30873,0
30881,0
30886,0
30902,0
30969,0
30982,0
31012,0
31054,0
31055,0
31087,0
31124,0
31224,0
31240,0
31259,0
262913,0
31317,0
31337,0
31349,0
31362,0
31391,0
31394,0
31443,0
31461,0
31487,0
31493,0
31590,0
31642,0
31643,0
31644,0
31679,0
31688,0
31693,0
31705,0
31856,0
31930,0
31960,0
31976,0
132003,0
32107,0
32363,0
32448,0
5421,0
32584,0
32744,0
32860,0
5479,0
33080,0
33091,0
33097,0
33234,0
1967,0
33280,0
33628,0
33819,0
33824,0
33890,0
33894,0
33940,0
33980,0
33988,0
34049,0
34081,0
34083,0
34108,0
34156,0
34188,0
34233,0
34285,0
34373,0
34387,0
34393,0
34410,0
34434,0
34447,0
34458,0
34497,0
34516,0
34524,0
34526,0
34533,0
34557,0
34574,0
34580,0
34587,0
34612,0
34622,0
34630,0
34636,0
34674,0
34685,0
34687,0
34743,0
34749,0
34760,0
34799,0
34918,0
34970,0
34971,0
35003,0
35006,0
35025,0
35041,0
35045,0
35046,0
35071,0
35094,0
35125,0
35130,0
35158,0
35171,0
35224,0
35227,0
35244,0
35314,0
35348,0
35368,0
35382,0
35444,0
35456,0
35492,0
35515,0
35522,0
132917,0
35540,0
35559,0
35593,0
35627,0
35656,0
35684,0
35714,0
35731,0
35733,0
35734,0
35807,0
35832,0
35911,0
35995,0
36081,0
49719,0
36372,0
36375,0
6121,0
36810,0
36867,0
36903,0
36908,0
36934,0
36939,0
36955,0
36961,0
36982,0
36986,0
36996,0
36997,0
36998,0
37004,0
37010,0
37037,0
37094,0
37182,0
37192,0
37194,0
37197,0
37205,0
37229,0
37281,0
37284,0
37292,0
37313,0
37322,0
37340,0
37346,0
37385,0
37405,0
37406,0
37443,0
37453,0
37492,0
37493,0
37503,0
37520,0
37532,0
37547,0
37550,0
37560,0
37586,0
37608,0
37629,0
37637,0
37645,0
37671,0
37686,0
37705,0
37708,0
132199,0
37979,0
38009,0
38077,0
38143,0
38170,0
38229,0
38315,0
38500,0
38565,0
38592,0
38635,0
38796,0
38805,0
38818,0
38952,0
38968,0
38972,0
38993,0
39005,0
39007,0
39069,0
39116,0
39150,0
39169,0
39250,0
39260,0
39263,0
39302,0
39318,0
39354,0
39365,0
39397,0
39427,0
39435,0
39501,0
39542,0
39544,0
39554,0
39578,0
39600,0
39602,0
39616,0
39617,0
39662,0
39674,0
39706,0
39709,0
39713,0
39759,0
327805,0
39815,0
39823,0
