asn,degree
46489,390
13249,388
7660,387
3327,386
680,378
12883,377
4788,376
3292,370
12350,370
41095,367
29632,366
31242,365
199524,365
50607,362
8308,361
852,358
1221,353
6730,349
3786,348
36692,346
7713,346
21219,346
32787,342
2516,337
40191,336
4230,327
1273,326
19151,326
2497,324
5413,322
24441,322
8374,317
10429,317
28625,315
35745,314
47329,312
39326,311
21021,310
7473,309
577,309
12956,309
2856,308
20853,305
35179,305
8758,300
24748,300
50606,298
26415,293
6327,293
13110,289
11404,284
702,284
42927,283
5617,282
42909,277
8657,272
5394,270
42739,270
49102,269
58321,269
197091,268
9085,267
15997,267
5769,265
14361,265
45896,265
47223,265
7474,263
35434,262
4809,262
55410,262
16342,261
56391,261
58307,261
8664,260
24709,260
31304,260
42673,260
49386,260
30851,259
51155,259
51373,259
197099,259
12618,258
24806,258
34209,258
39816,258
43709,258
49743,258
6777,258
30778,257
48424,257
49420,257
57723,257
196729,257
197790,257
3169,256
28978,256
30975,256
39375,256
39869,256
41966,256
5526,255
12912,255
30793,255
41201,255
42177,255
50153,255
51290,255
197704,255
21244,254
28797,254
29305,254
35007,254
38987,254
39603,254
41421,254
42204,254
42503,254
42763,254
51399,254
51484,254
56515,254
59460,254
197667,254
198498,254
8819,253
12985,253
25443,253
29135,253
29430,253
29512,253
30838,253
31229,253
31409,253
32653,253
34409,253
35063,253
42830,253
43118,253
43679,253
44086,253
44914,253
48428,253
48559,253
49242,253
50599,253
50625,253
51310,253
56511,253
56949,253
57896,253
60018,253
60806,253
62421,253
197405,253
197480,253
198036,253
198984,253
200966,253
202004,253
202050,253
8477,252
8535,252
12824,252
12827,252
16296,252
21344,252
29522,252
30923,252
41314,252
41676,252
41796,252
41952,252
43091,252
43372,252
48047,252
49300,252
49528,252
49633,252
51277,252
51863,252
57665,252
57701,252
57811,252
59611,252
60191,252
60563,252
196890,252
197113,252
197336,252
197400,252
197503,252
197936,252
198067,252
198230,252
198704,252
199060,252
199075,252
199503,252
199715,252
200539,252
201020,252
203821,252
205671,252
206579,252
207067,252
25523,251
33838,251
34891,251
39039,251
41004,251
41256,251
41266,251
42039,251
42968,251
43420,251
44061,251
47322,251
49888,251
50467,251
50661,251
51060,251
196928,251
197201,251
197572,251
197724,251
197837,251
197979,251
198073,251
198232,251
198271,251
198493,251
198594,251
198777,251
198979,251
199390,251
199831,251
201323,251
201328,251
207119,251
262589,251
18101,251
5650,250
15874,250
20592,250
21404,250
35378,250
41356,250
56904,250
59607,250
198000,250
199953,250
199980,250
199981,250
31423,249
57101,249
197227,249
4608,247
27446,247
44454,247
62567,247
393406,247
10796,247
50705,245
198945,245
7385,245
42914,244
197839,244
198591,244
41790,243
8607,242
3561,240
6079,237
29076,233
2854,233
7738,231
8596,231
15412,231
29686,230
5645,228
9049,225
33491,224
2764,223
8717,222
4844,221
41497,213
8167,213
5392,210
11039,204
23947,203
9121,203
15830,202
3326,201
7545,198
7922,197
37271,194
5396,193
2381,191
5511,190
15290,189
202032,188
3269,188
1257,182
2119,182
8866,181
24785,178
5089,178
4773,177
17451,176
34984,176
29222,175
62081,173
45899,171
714,171
39737,171
20632,170
1403,169
3215,169
7015,169
812,167
5400,167
6720,166
4134,165
5483,162
8331,161
3209,160
2200,158
9299,158
23520,157
11427,156
24724,155
293,153
8966,153
13101,152
50673,151
12695,149
7303,148
16657,147
2852,147
33651,147
23005,145
31334,144
2686,143
4713,143
28598,141
29208,141
8943,141
17922,141
22927,140
11537,139
4775,139
8767,139
23148,139
5580,138
18403,138
3352,137
38001,137
57344,137
15694,136
54113,136
8560,135
2152,133
12714,133
58453,132
8764,132
6774,131
29838,129
15557,128
53062,127
20080,126
7049,126
17676,124
9119,124
8641,123
12301,123
199599,123
31400,123
53237,123
12715,122
35805,122
11164,121
29535,121
45147,121
9381,119
41313,119
5603,119
31529,118
137,116
13789,116
31287,116
8953,116
24130,116
29049,115
33132,115
42861,115
16397,115
21320,114
5466,114
13649,114
31027,114
52965,113
28368,112
1241,110
25291,110
13094,110
31216,109
47605,109
6910,108
13445,107
45820,107
101,106
26554,106
2907,106
34779,106
5563,105
14868,105
26615,105
45758,104
25192,104
33667,104
4837,103
38158,103
27064,103
28146,102
53013,102
33287,102
7470,102
38193,101
15958,100
43727,100
38040,99
16097,99
48858,99
33659,99
14413,98
6724,98
57724,98
3758,98
198435,97
8932,97
24940,97
20001,97
703,96
42525,96
57976,95
9329,95
45177,95
8365,95
42337,95
25159,95
12306,94
263444,94
33657,94
21859,93
44217,93
26496,93
4808,93
10103,93
55002,93
15895,92
25180,92
54825,92
6805,92
15704,91
39180,91
20676,91
28343,91
31261,91
8452,90
2110,90
43561,90
58463,90
3301,89
6739,89
19108,89
7795,89
61832,88
2687,88
52361,88
12041,87
12731,87
13194,87
32098,87
12302,87
4847,87
11096,86
6908,86
6082,85
19679,85
42385,85
47232,85
4648,85
21497,85
14907,85
28250,85
61568,85
45494,85
11664,85
21013,84
50629,84
54104,84
28260,84
23473,83
22356,83
58552,83
5578,83
15600,83
29467,83
41692,83
45629,83
25478,83
5391,82
12182,82
15924,82
29396,82
21385,82
196925,82
4750,82
7016,82
786,81
56534,81
11351,81
15008,80
16243,80
39392,80
12993,80
39251,80
197595,80
28226,80
7552,79
16086,79
53264,79
58717,79
13193,79
47764,79
56630,79
17222,79
44814,79
8595,79
12083,79
7843,78
8280,78
13536,78
8487,78
20640,78
41160,77
1836,77
3262,77
6181,77
6697,77
10913,77
21263,77
48173,77
5583,77
9063,76
31252,76
42020,76
56665,76
31490,76
28283,76
1280,75
47065,75
30094,75
50010,75
24167,75
25549,75
35104,75
48917,75
60501,75
35000,75
9503,75
20811,74
2116,74
6735,74
12310,74
34123,74
197426,74
2818,74
15598,74
8781,74
20956,74
28876,74
34953,74
206776,74
55329,74
41913,74
33660,74
33668,74
12400,74
2905,73
31319,73
559,73
9269,73
24961,73
31293,73
33915,73
60294,73
17727,73
41059,73
135391,73
12843,72
18734,72
20773,72
34305,72
34569,72
63199,72
226,72
34577,72
50923,72
60230,72
11426,71
9150,71
12329,71
13760,71
20504,71
22911,71
24875,71
45102,71
19754,71
33363,71
20665,71
26667,71
47195,71
48452,71
64313,71
18001,71
24910,71
44824,71
50314,71
60202,71
12880,71
28186,71
20495,70
29834,70
7363,70
10217,70
34019,70
14610,70
29405,70
40596,70
44169,70
49669,70
199903,70
200124,70
202178,70
202953,70
394927,70
21127,70
8816,69
24608,69
12129,69
12337,69
39832,69
58587,69
12355,69
15943,69
12200,69
2535,69
27281,69
4515,69
49063,69
37105,68
8001,68
11172,68
25394,68
29014,68
34863,68
49981,68
1853,68
8449,68
29479,68
197580,68
20965,68
29073,68
53087,68
204281,68
34347,67
12414,67
21473,67
24989,67
25542,67
33986,67
36089,67
39912,67
41887,67
31477,67
21413,67
45725,67
23498,67
262761,67
262907,67
263311,67
11058,67
31449,66
35906,66
42184,66
43142,66
198792,66
200020,66
49788,66
38195,66
33873,66
41624,66
44843,66
8676,66
3246,66
55644,66
12876,65
24904,65
