15599,1
3462,45
14412,1
24538,21
29226,851
50469,44
263003,25
202535,1
60042,3
205426,1
50915,10
393676,13
24482,3403
27467,3
16276,1528
58434,5
33662,52
60475,15
5495,13
204271,1
44219,13
199364,1
13345,2
50928,36
5435,7
45499,1
42039,251
34573,1
54700,35
6966,1
10490,29
11340,9
394098,1
54053,1
39522,494
5392,210
16668,2
32593,2
10708,2
25490,9
266039,26
61792,1
9925,15
45328,1
18125,3
18739,1
58396,2
59547,2
56484,6
64331,1
27168,4
12294,2
134143,7
136501,9
40473,2
43316,1
7091,8
7005,2
41966,256
328145,7
24590,1
52973,9
17814,9
42400,3
198112,1
17666,18
52873,695
30176,18
47242,16
7479,12
262700,27
52386,1
36040,9
131386,2
55701,3
32554,2
5468,1
41268,30
43548,1
264492,26
8859,51
25474,1
9892,10
45295,1
9519,12
133424,1
31038,1
10015,5
48881,1
9270,20
52360,13
29304,2
31319,73
6661,590
135099,6
50270,1
33736,1
345,2
207153,3
131996,2
34984,176
53001,25
38199,3
32223,1
263566,2
43395,1
202936,1
25785,1
31425,4
12343,1
205268,4
264959,31
20401,1
25850,1
17310,21
54662,1
197698,5
196844,785
44764,1
11727,1
8403,544
19335,1
53038,1
50333,2
19806,1
41475,8
32016,1
20545,2
7016,82
22860,2
52403,5
25482,11
57119,498
265790,1
199738,1
57474,4
262279,1
43561,90
29655,20
196969,1
47698,1
393436,1
6192,1
57982,1
58682,51
38220,16
49816,1
9443,18
43260,10
37386,1
28216,26
33179,1
263522,1
48571,1
48694,1
62812,1
206581,1
19008,1
36412,6
50446,3
24940,97
50257,1
43376,55
394898,1
8789,495
49373,2
263478,33
23205,1
27237,1
17385,2
16019,11
51399,254
19368,1
5693,12
49465,2
264519,1
57208,14
203064,2
394232,2
25509,2
37317,3
199524,365
16859,1
265062,25
56975,1
62227,492
206336,2
16695,1
29199,1
9785,1
46446,3
33162,1
19257,10
266437,25
207176,1
264230,23
61777,1
385,2
43994,27
20924,18
30260,1
48742,3
263619,1
50440,1
22150,2
262734,28
8120,1
33525,3
8926,56
32822,1
19844,4
39151,5
13845,1
44581,10
264580,28
202178,70
672,1
262420,26
22795,2
54030,1
266445,5
20694,3
3737,36
18898,1
52587,1
24632,3
132649,1
56762,1
35530,2
29684,11
42104,28
11540,1
41959,2
16897,1
196967,1
205697,1
206108,2
51083,17
200596,1
198616,8
62044,761
25139,3
57143,1
12989,863
55879,2
27787,1
11317,5
52985,1
37933,9
13101,152
20836,41
15497,31
35339,6
135167,1
23095,1
6863,6
12260,2
23249,1
44034,56
51391,5
63926,12
22153,2
19873,2
22734,1
33445,25
49453,47
60821,11
55497,7
41931,3
52262,2
14048,4
51188,1
50655,41
8687,4
40676,566
13053,1
11525,1
262778,34
6910,108
18183,1
50606,298
264020,25
6876,50
1323,1
198013,11
29551,24
6083,10
43289,20
55,2
25003,17
267590,25
33395,1
61935,26
205020,3
62724,1
16591,62
57507,1
266315,1
15757,10
41709,1
29386,1
7654,7
22177,32
22157,1
30889,521
6147,4
199774,1
48858,99
20150,9
44941,4
44510,1
27085,1
22243,1
58453,132
13592,1
24829,1
28546,2
39136,12
13005,505
20126,1
9712,1
6458,5
17535,6
9246,21
200577,1
262606,29
47406,19
262434,37
12025,49
47141,1
63747,1
262435,25
52247,1
40364,1
262323,27
52468,47
17402,2
31576,1
41314,252
4833,1
203393,1
8452,90
51942,2
4538,22
24088,30
24211,46
2722,3
8788,19
19830,1
6222,1
38963,1
264496,27
132426,1
8632,59
263333,1
49820,42
44349,1
31294,12
49056,1
6700,13
6336,4
62472,1
328242,3
36877,1
19266,1
23629,2
1213,31
19626,1
197078,1
201118,1
205988,1
52911,26
15721,1
36489,2
206059,1
31402,7
395470,8
197480,253
33668,74
136245,9
32103,1
12676,23
59428,1
327799,1
6303,1
32743,27
13357,25
14204,26
21985,1
12996,7
32074,1
25843,2
12597,20
8819,253
34867,59
196752,56
51341,13
25084,8
34604,1
2914,1758
50416,1
31708,518
11524,1
35863,1
62035,10
52324,6
265717,1
262149,5
31494,3
27851,2
4804,2
198091,2
8856,2
29017,537
394399,1
8737,1
44745,1
26613,8
199569,2
5384,31
1455,1
6762,502
54240,2
17483,1
16202,3
13720,59
13576,28
47961,1
47020,1
131089,1
27631,1
51007,2
33543,1
34895,36
16342,261
5726,16
56730,592
35638,11
263303,11
136585,1
47110,4
14010,1
134399,1
60171,521
15612,1
42396,13
24218,582
27322,2
33359,1
134042,3
265034,1
14969,2
42184,66
59519,1
50916,6
12305,6
54964,1
39824,5
51018,2
61712,2
34038,1
32854,1
44327,18
32626,1
58309,1
61582,29
36086,64
57262,1
203923,54
26549,1
63253,1
7417,1
264076,26
15997,267
199296,2
53873,1
52269,1
8613,2
2559,1
56270,6
206676,11
43708,8
198891,2
52799,1
56290,1
22549,1
45577,6
25561,1
56233,1
11255,2
16810,1
49888,251
8587,52
54508,1
196762,4
21437,8
15129,3
55947,1
39046,13
262983,26
